"GEO_ID","P001001","NAME"
"8600000US01027","17660","ZCTA5 01027"
"8600000US01028","15720","ZCTA5 01028"
"8600000US01029","789","ZCTA5 01029"
"8600000US01030","11669","ZCTA5 01030"
"8600000US01031","1308","ZCTA5 01031"
"8600000US01032","570","ZCTA5 01032"
"8600000US01033","6227","ZCTA5 01033"
"8600000US01034","2021","ZCTA5 01034"
"8600000US01035","5250","ZCTA5 01035"
"8600000US01036","5109","ZCTA5 01036"
"8600000US01037","838","ZCTA5 01037"
"8600000US01038","2545","ZCTA5 01038"
"8600000US01039","1336","ZCTA5 01039"
"8600000US01040","39880","ZCTA5 01040"
"8600000US01050","2530","ZCTA5 01050"
"8600000US01053","1685","ZCTA5 01053"
"8600000US01054","1851","ZCTA5 01054"
"8600000US01056","21103","ZCTA5 01056"
"8600000US01057","8534","ZCTA5 01057"
"8600000US01060","15284","ZCTA5 01060"
"8600000US01062","11150","ZCTA5 01062"
"8600000US01063","430","ZCTA5 01063"
"8600000US01066","64","ZCTA5 01066"
"8600000US01068","1902","ZCTA5 01068"
"8600000US01069","8469","ZCTA5 01069"
"8600000US01070","629","ZCTA5 01070"
"8600000US01071","1596","ZCTA5 01071"
"8600000US01072","1478","ZCTA5 01072"
"8600000US01073","5792","ZCTA5 01073"
"8600000US01074","319","ZCTA5 01074"
"8600000US01075","17527","ZCTA5 01075"
"8600000US01077","9502","ZCTA5 01077"
"8600000US01079","692","ZCTA5 01079"
"8600000US01080","2334","ZCTA5 01080"
"8600000US01081","1698","ZCTA5 01081"
"8600000US01082","10322","ZCTA5 01082"
"8600000US01083","2888","ZCTA5 01083"
"8600000US01084","176","ZCTA5 01084"
"8600000US01085","41117","ZCTA5 01085"
"8600000US01086","687","ZCTA5 01086"
"8600000US01088","670","ZCTA5 01088"
"8600000US01089","28391","ZCTA5 01089"
"8600000US01092","1394","ZCTA5 01092"
"8600000US01093","325","ZCTA5 01093"
"8600000US01094","351","ZCTA5 01094"
"8600000US01095","14319","ZCTA5 01095"
"8600000US01096","2217","ZCTA5 01096"
"8600000US01097","111","ZCTA5 01097"
"8600000US01098","1101","ZCTA5 01098"
"8600000US01103","2479","ZCTA5 01103"
"8600000US01104","22865","ZCTA5 01104"
"8600000US01105","12350","ZCTA5 01105"
"8600000US01106","16021","ZCTA5 01106"
"8600000US01107","11611","ZCTA5 01107"
"8600000US01108","26688","ZCTA5 01108"
"8600000US01109","30250","ZCTA5 01109"
"8600000US01118","14071","ZCTA5 01118"
"8600000US01119","14152","ZCTA5 01119"
"8600000US01128","2631","ZCTA5 01128"
"8600000US01129","7019","ZCTA5 01129"
"8600000US01151","8698","ZCTA5 01151"
"8600000US01199","0","ZCTA5 01199"
"8600000US01201","46504","ZCTA5 01201"
"8600000US01220","8603","ZCTA5 01220"
"8600000US01222","829","ZCTA5 01222"
"8600000US01223","2314","ZCTA5 01223"
"8600000US01224","182","ZCTA5 01224"
"8600000US01225","3117","ZCTA5 01225"
"8600000US01226","6945","ZCTA5 01226"
"8600000US01229","95","ZCTA5 01229"
"8600000US01230","8430","ZCTA5 01230"
"8600000US01235","2766","ZCTA5 01235"
"8600000US01236","1509","ZCTA5 01236"
"8600000US01237","2496","ZCTA5 01237"
"8600000US01238","6047","ZCTA5 01238"
"8600000US01240","4534","ZCTA5 01240"
"8600000US01242","476","ZCTA5 01242"
"8600000US01243","334","ZCTA5 01243"
"8600000US01244","151","ZCTA5 01244"
"8600000US01245","985","ZCTA5 01245"
"8600000US01247","16087","ZCTA5 01247"
"8600000US01253","731","ZCTA5 01253"
"8600000US01254","972","ZCTA5 01254"
"8600000US01255","915","ZCTA5 01255"
"8600000US01256","692","ZCTA5 01256"
"8600000US01257","2121","ZCTA5 01257"
"8600000US01258","374","ZCTA5 01258"
"8600000US01259","635","ZCTA5 01259"
"8600000US01260","240","ZCTA5 01260"
"8600000US01262","1238","ZCTA5 01262"
"8600000US01264","137","ZCTA5 01264"
"8600000US01266","1463","ZCTA5 01266"
"8600000US01267","7989","ZCTA5 01267"
"8600000US01270","778","ZCTA5 01270"
"8600000US01301","17700","ZCTA5 01301"
"8600000US01330","1506","ZCTA5 01330"
"8600000US01331","13263","ZCTA5 01331"
"8600000US01337","2596","ZCTA5 01337"
"8600000US01338","187","ZCTA5 01338"
"8600000US01339","1438","ZCTA5 01339"
"8600000US01340","1701","ZCTA5 01340"
"8600000US01341","1833","ZCTA5 01341"
"8600000US01342","1492","ZCTA5 01342"
"8600000US01343","75","ZCTA5 01343"
"8600000US01344","1498","ZCTA5 01344"
"8600000US01346","533","ZCTA5 01346"
"8600000US01347","166","ZCTA5 01347"
"8600000US01349","1091","ZCTA5 01349"
"8600000US01350","121","ZCTA5 01350"
"8600000US01351","2270","ZCTA5 01351"
"8600000US01354","1500","ZCTA5 01354"
"8600000US01355","878","ZCTA5 01355"
"8600000US01360","3032","ZCTA5 01360"
"8600000US01364","7969","ZCTA5 01364"
"8600000US01366","1277","ZCTA5 01366"
"8600000US01367","522","ZCTA5 01367"
"8600000US01368","1261","ZCTA5 01368"
"8600000US01370","4084","ZCTA5 01370"
"8600000US01373","4600","ZCTA5 01373"
"8600000US01375","3684","ZCTA5 01375"
"8600000US01376","5247","ZCTA5 01376"
"8600000US01378","774","ZCTA5 01378"
"8600000US01379","813","ZCTA5 01379"
"8600000US01420","40337","ZCTA5 01420"
"8600000US01430","6089","ZCTA5 01430"
"8600000US01431","3074","ZCTA5 01431"
"8600000US01432","7089","ZCTA5 01432"
"8600000US01434","1795","ZCTA5 01434"
"8600000US01436","3336","ZCTA5 01436"
"8600000US01438","559","ZCTA5 01438"
"8600000US01440","20347","ZCTA5 01440"
"8600000US01450","10646","ZCTA5 01450"
"8600000US01451","4747","ZCTA5 01451"
"8600000US01452","4382","ZCTA5 01452"
"8600000US01453","40883","ZCTA5 01453"
"8600000US01460","8924","ZCTA5 01460"
"8600000US01462","10086","ZCTA5 01462"
"8600000US01463","11497","ZCTA5 01463"
"8600000US01464","7211","ZCTA5 01464"
"8600000US01467","316","ZCTA5 01467"
"8600000US01468","4021","ZCTA5 01468"
"8600000US01469","6801","ZCTA5 01469"
"8600000US01473","7277","ZCTA5 01473"
"8600000US01474","2125","ZCTA5 01474"
"8600000US01475","10270","ZCTA5 01475"
"8600000US01501","16075","ZCTA5 01501"
"8600000US01503","2866","ZCTA5 01503"
"8600000US01504","9026","ZCTA5 01504"
"8600000US01505","4355","ZCTA5 01505"
"8600000US01506","3390","ZCTA5 01506"
"8600000US01507","12981","ZCTA5 01507"
"8600000US01510","13606","ZCTA5 01510"
"8600000US01515","2183","ZCTA5 01515"
"8600000US01516","8500","ZCTA5 01516"
"8600000US01518","2974","ZCTA5 01518"
"8600000US01519","6595","ZCTA5 01519"
"8600000US01520","13997","ZCTA5 01520"
"8600000US01521","2481","ZCTA5 01521"
"8600000US01522","3310","ZCTA5 01522"
"8600000US01523","7582","ZCTA5 01523"
"8600000US01524","6696","ZCTA5 01524"
"8600000US01525","290","ZCTA5 01525"
"8600000US01527","13246","ZCTA5 01527"
"8600000US01529","3190","ZCTA5 01529"
"8600000US01531","999","ZCTA5 01531"
"8600000US01532","14155","ZCTA5 01532"
"8600000US01534","5631","ZCTA5 01534"
"8600000US01535","4680","ZCTA5 01535"
"8600000US01536","6888","ZCTA5 01536"
"8600000US01537","2248","ZCTA5 01537"
"8600000US01540","11291","ZCTA5 01540"
"8600000US01541","3413","ZCTA5 01541"
"8600000US01542","2202","ZCTA5 01542"
"8600000US01543","7973","ZCTA5 01543"
"8600000US01545","35299","ZCTA5 01545"
"8600000US01550","16719","ZCTA5 01550"
"8600000US01560","4527","ZCTA5 01560"
"8600000US01561","330","ZCTA5 01561"
"8600000US01562","11688","ZCTA5 01562"
"8600000US01564","7808","ZCTA5 01564"
"8600000US01566","6294","ZCTA5 01566"
"8600000US01568","7480","ZCTA5 01568"
"8600000US01569","13569","ZCTA5 01569"
"8600000US01570","16767","ZCTA5 01570"
"8600000US01571","11390","ZCTA5 01571"
"8600000US01581","18272","ZCTA5 01581"
"8600000US01583","7591","ZCTA5 01583"
"8600000US01585","4554","ZCTA5 01585"
"8600000US01588","9733","ZCTA5 01588"
"8600000US01590","8875","ZCTA5 01590"
"8600000US01602","22819","ZCTA5 01602"
"8600000US01603","19916","ZCTA5 01603"
"8600000US01604","34677","ZCTA5 01604"
"8600000US01605","26221","ZCTA5 01605"
"8600000US01606","19077","ZCTA5 01606"
"8600000US01607","8351","ZCTA5 01607"
"8600000US01608","3888","ZCTA5 01608"
"8600000US01609","22421","ZCTA5 01609"
"8600000US01610","23945","ZCTA5 01610"
"8600000US01611","2242","ZCTA5 01611"
"8600000US01612","4845","ZCTA5 01612"
"8600000US01701","31217","ZCTA5 01701"
"8600000US01702","37206","ZCTA5 01702"
"8600000US01718","469","ZCTA5 01718"
"8600000US01719","4996","ZCTA5 01719"
"8600000US01720","21361","ZCTA5 01720"
"8600000US01721","16593","ZCTA5 01721"
"8600000US01730","13221","ZCTA5 01730"
"8600000US01731","1396","ZCTA5 01731"
"8600000US01740","4897","ZCTA5 01740"
"8600000US01741","4852","ZCTA5 01741"
"8600000US01742","17726","ZCTA5 01742"
"8600000US01745","397","ZCTA5 01745"
"8600000US01746","13547","ZCTA5 01746"
"8600000US01747","5911","ZCTA5 01747"
"8600000US01748","14925","ZCTA5 01748"
"8600000US01749","19063","ZCTA5 01749"
"8600000US01752","38499","ZCTA5 01752"
"8600000US01754","10106","ZCTA5 01754"
"8600000US01756","5839","ZCTA5 01756"
"8600000US01757","28061","ZCTA5 01757"
"8600000US01760","32786","ZCTA5 01760"
"8600000US01770","4119","ZCTA5 01770"
"8600000US01772","9370","ZCTA5 01772"
"8600000US01773","5112","ZCTA5 01773"
"8600000US01775","6590","ZCTA5 01775"
"8600000US01776","17659","ZCTA5 01776"
"8600000US01778","13109","ZCTA5 01778"
"8600000US01801","38903","ZCTA5 01801"
"8600000US01803","24487","ZCTA5 01803"
"8600000US01810","33201","ZCTA5 01810"
"8600000US01821","30310","ZCTA5 01821"
"8600000US01824","24911","ZCTA5 01824"
"8600000US01826","29422","ZCTA5 01826"
"8600000US01827","3179","ZCTA5 01827"
"8600000US01830","25137","ZCTA5 01830"
"8600000US01832","22060","ZCTA5 01832"
"8600000US01833","8183","ZCTA5 01833"
"8600000US01834","6459","ZCTA5 01834"
"8600000US01835","13682","ZCTA5 01835"
"8600000US01840","4733","ZCTA5 01840"
"8600000US01841","47225","ZCTA5 01841"
"8600000US01843","24425","ZCTA5 01843"
"8600000US01844","47249","ZCTA5 01844"
"8600000US01845","28352","ZCTA5 01845"
"8600000US01850","15237","ZCTA5 01850"
"8600000US01851","30190","ZCTA5 01851"
"8600000US01852","33508","ZCTA5 01852"
"8600000US01854","27606","ZCTA5 01854"
"8600000US01860","6338","ZCTA5 01860"
"8600000US01862","10227","ZCTA5 01862"
"8600000US01863","8891","ZCTA5 01863"
"8600000US01864","14892","ZCTA5 01864"
"8600000US01867","23956","ZCTA5 01867"
"8600000US01876","28667","ZCTA5 01876"
"8600000US01879","11305","ZCTA5 01879"
"8600000US01880","24733","ZCTA5 01880"
"8600000US01886","21951","ZCTA5 01886"
"8600000US01887","22325","ZCTA5 01887"
"8600000US01890","21382","ZCTA5 01890"
"8600000US01901","1689","ZCTA5 01901"
"8600000US01902","45139","ZCTA5 01902"
"8600000US01904","18203","ZCTA5 01904"
"8600000US01905","25251","ZCTA5 01905"
"8600000US01906","26660","ZCTA5 01906"
"8600000US01907","14027","ZCTA5 01907"
"8600000US01908","3410","ZCTA5 01908"
"8600000US01913","16283","ZCTA5 01913"
"8600000US01915","39502","ZCTA5 01915"
"8600000US01921","7961","ZCTA5 01921"
"8600000US01922","3108","ZCTA5 01922"
"8600000US01923","26342","ZCTA5 01923"
"8600000US01929","3504","ZCTA5 01929"
"8600000US01930","28789","ZCTA5 01930"
"8600000US01937","151","ZCTA5 01937"
"8600000US01938","13175","ZCTA5 01938"
"8600000US01940","12108","ZCTA5 01940"
"8600000US01944","5136","ZCTA5 01944"
"8600000US01945","19808","ZCTA5 01945"
"8600000US01949","8987","ZCTA5 01949"
"8600000US01950","17416","ZCTA5 01950"
"8600000US01951","3558","ZCTA5 01951"
"8600000US01952","8283","ZCTA5 01952"
"8600000US01960","50944","ZCTA5 01960"
"8600000US01966","6952","ZCTA5 01966"
"8600000US01969","5856","ZCTA5 01969"
"8600000US01970","41109","ZCTA5 01970"
"8600000US01982","7764","ZCTA5 01982"
"8600000US01983","6089","ZCTA5 01983"
"8600000US01984","4875","ZCTA5 01984"
"8600000US01985","4235","ZCTA5 01985"
"8600000US02019","16332","ZCTA5 02019"
"8600000US02021","21561","ZCTA5 02021"
"8600000US02025","7542","ZCTA5 02025"
"8600000US02026","24711","ZCTA5 02026"
"8600000US02030","5589","ZCTA5 02030"
"8600000US02032","4226","ZCTA5 02032"
"8600000US02035","16865","ZCTA5 02035"
"8600000US02038","31635","ZCTA5 02038"
"8600000US02043","22157","ZCTA5 02043"
"8600000US02045","10293","ZCTA5 02045"
"8600000US02047","180","ZCTA5 02047"
"8600000US02048","23184","ZCTA5 02048"
"8600000US02050","25429","ZCTA5 02050"
"8600000US02052","12024","ZCTA5 02052"
"8600000US02053","12752","ZCTA5 02053"
"8600000US02054","7891","ZCTA5 02054"
"8600000US02056","10981","ZCTA5 02056"
"8600000US02061","10506","ZCTA5 02061"
"8600000US02062","28602","ZCTA5 02062"
"8600000US02066","17656","ZCTA5 02066"
"8600000US02067","17486","ZCTA5 02067"
"8600000US02071","1707","ZCTA5 02071"
"8600000US02072","26999","ZCTA5 02072"
"8600000US02081","18472","ZCTA5 02081"
"8600000US02090","14636","ZCTA5 02090"
"8600000US02093","10955","ZCTA5 02093"
"8600000US02108","3825","ZCTA5 02108"
"8600000US02109","3771","ZCTA5 02109"
"8600000US02110","1733","ZCTA5 02110"
"8600000US02111","7383","ZCTA5 02111"
"8600000US02113","6915","ZCTA5 02113"
"8600000US02114","11999","ZCTA5 02114"
"8600000US02115","28441","ZCTA5 02115"
"8600000US02116","20628","ZCTA5 02116"
"8600000US02118","26498","ZCTA5 02118"
"8600000US02119","25346","ZCTA5 02119"
"8600000US02120","15181","ZCTA5 02120"
"8600000US02121","25978","ZCTA5 02121"
"8600000US02122","23479","ZCTA5 02122"
"8600000US02124","47783","ZCTA5 02124"
"8600000US02125","33295","ZCTA5 02125"
"8600000US02126","25562","ZCTA5 02126"
"8600000US02127","31799","ZCTA5 02127"
"8600000US02128","40508","ZCTA5 02128"
"8600000US02129","16439","ZCTA5 02129"
"8600000US02130","35401","ZCTA5 02130"
"8600000US02131","29826","ZCTA5 02131"
"8600000US02132","25861","ZCTA5 02132"
"8600000US02134","21503","ZCTA5 02134"
